 *To view, open file on an editor to 124 columns wide*
__________________________________________________________________________________________________________________________
                      SUMMARY OF TABULATED INFORMATION
 
 Enclosed are double-differential emission spectra for neutron, proton, deuteron, and alpha ejectiles, in the lab frame.
 Information on the average energy transferred to secondary ejectiles in nuclear reactions is also given.
 The results were generated from the GNASH nuclear model code by M.B. Chadwick and P.G. Young of Los Alamos Nat. Lab.
  
 This file is an electronic version of the printed table in the ICRU report, but for a wider range of incident energies.
 See the Table description key in the ICRU report.
  
 The information enclosed here should be considered as derived from the accompanying ENDF file. It has the advantage of 
 being transformed into the laboratory frame, for more convenient use in a radiation transport code, or for comparisons 
 with experimental data in the laboratory frame.
 However, the following should be born in mind: (1) Emission energies have been rebinned on coarser grids. More detailed
 information is sometimes available from the ENDF file or the ENDF-easy file; (2) Some information is not included (see 
 next paragraph), but is available on the ENDF and ENDF-easy files.
  
 Emission spectra of gammas, recoils, and tritons (if included) are not given, nor are elastic scattering distributions.
 However, information on the average kinetic energy transferred to these ejectiles is given in this file.
 Furthermore, full information on these ejectiles can be found on the ENDF file, or on the ENDF-easy file. Omission of 
 information on triton, and recoil spectra here is not problematic for most needs since most radiation transport calcs.
 will not track these ejectiles and will treat their energy deposition as occurring locally - this file provides 
 information needed for calculation of local energy deposition in the ENERGY DEPOSITION SUMMARY sections
  
 Also note:
  
 * The emission energies are given as histograms, and in the tables below, the energy bin range is given (note the 
   first bin is wider than the other bins).
  
 * Multiplicity is defined as the production cross section divided by the nonelastic cross section.
  
 * Kerma coefficients (also known as kerma factors) are given in units fGym2 (femto.Gray.meters-squared). This unit is 
   given by multiplying kerma co. in MeV.barns by 9.684/A where A is the target atomic mass in u. They are only defined
   for incident neutrons.
  
 * In the ENERGY DEPOSITION SUMMARY, the average fraction of incident energy transferred to secondary ejectiles per 
   nonelastic reaction is given, for radiation transport applications. This is defined as:
   (average energy)*multiplicity/(incident energy).
   Note that the fractions for all ejectiles do not sum to unity since some energy is converted to mass (i.e. Q-values)
  
 **LIABILITY: Neither the ICRU, nor members of the ICRU report committee, nor Los Alamos National Laboratory, guarantees
   the accuracy of this information, nor will they accept any liability for any problems encountered with its use.**
  
__________________________________________________________________________________________________________________________

+++++++++++++++++++++++++++++++++++++++  30-MeV neutrons incident on 208Pb ++++++++++++++++++++++++++++++++++++++++++++++++

Cross section summary information for  30-MeV reactions on 208Pb:
Total cross section      = 5.127E+03 mb
Elastic cross section    = 2.569E+03 mb
Nonelastic cross section = 2.558E+03 mb
  
                        30-MeV neutrons incident on 208Pb
                        Emission spectrum of  *neutrons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 1.5E+02 1.5E+02 1.5E+02 1.5E+02 1.4E+02 1.4E+02 1.4E+02 1.4E+02 1.3E+02 1.3E+02 1.3E+02 1.3E+02 1.3E+02   1.7E+03
   3-   5 5.1E+01 5.1E+01 5.0E+01 4.9E+01 4.7E+01 4.6E+01 4.4E+01 4.3E+01 4.0E+01 3.7E+01 3.6E+01 3.5E+01 3.5E+01   5.1E+02
   5-   7 1.9E+01 1.8E+01 1.8E+01 1.7E+01 1.7E+01 1.6E+01 1.5E+01 1.4E+01 1.2E+01 1.1E+01 9.6E+00 9.1E+00 8.7E+00   1.6E+02
   7-   9 1.2E+01 1.2E+01 1.1E+01 1.1E+01 1.0E+01 9.5E+00 8.8E+00 8.0E+00 6.6E+00 5.4E+00 4.6E+00 4.1E+00 3.8E+00   8.8E+01
   9-  11 9.7E+00 9.6E+00 9.3E+00 8.9E+00 8.3E+00 7.6E+00 6.9E+00 6.2E+00 4.9E+00 3.8E+00 3.1E+00 2.7E+00 2.5E+00   6.6E+01
  11-  13 8.6E+00 8.5E+00 8.2E+00 7.8E+00 7.2E+00 6.5E+00 5.8E+00 5.1E+00 3.9E+00 3.0E+00 2.3E+00 2.0E+00 1.8E+00   5.4E+01
  13-  15 7.9E+00 7.8E+00 7.5E+00 7.0E+00 6.4E+00 5.8E+00 5.1E+00 4.4E+00 3.2E+00 2.4E+00 1.8E+00 1.5E+00 1.3E+00   4.6E+01
  15-  17 7.4E+00 7.3E+00 6.9E+00 6.4E+00 5.8E+00 5.2E+00 4.5E+00 3.8E+00 2.7E+00 1.9E+00 1.4E+00 1.1E+00 9.8E-01   4.0E+01
  17-  19 6.8E+00 6.7E+00 6.4E+00 5.9E+00 5.2E+00 4.6E+00 3.9E+00 3.3E+00 2.2E+00 1.5E+00 1.1E+00 8.2E-01 7.1E-01   3.4E+01
  19-  21 6.1E+00 6.0E+00 5.7E+00 5.2E+00 4.6E+00 3.9E+00 3.3E+00 2.7E+00 1.7E+00 1.1E+00 7.7E-01 5.8E-01 4.8E-01   2.8E+01
  21-  23 5.8E+00 5.7E+00 5.4E+00 4.9E+00 4.2E+00 3.6E+00 3.0E+00 2.4E+00 1.5E+00 9.4E-01 6.2E-01 4.6E-01 3.8E-01   2.5E+01
  23-  25 9.4E+00 9.2E+00 8.6E+00 7.7E+00 6.6E+00 5.5E+00 4.4E+00 3.4E+00 2.0E+00 1.2E+00 7.5E-01 5.4E-01 4.4E-01   3.7E+01
  25-  27 7.7E+00 7.5E+00 6.9E+00 6.1E+00 5.2E+00 4.2E+00 3.3E+00 2.5E+00 1.4E+00 7.8E-01 4.7E-01 3.2E-01 2.5E-01   2.8E+01
  27-  29 3.2E+00 3.0E+00 2.7E+00 2.3E+00 1.8E+00 1.4E+00 9.8E-01 6.7E-01 2.9E-01 1.2E-01 4.8E-02 2.4E-02 1.5E-02   8.3E+00
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                           neutron production cross section (mb) =7.414E+03
                                                                           neutron multiplicity (dimensionless)  =2.898E+00
                                                                           neutron average energy (MeV)          =3.578E+00
  
                        30-MeV neutrons incident on 208Pb
                        Emission spectrum of   *protons*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
   0-   3 2.0E-07 2.0E-07 2.1E-07 2.1E-07 2.3E-07 2.4E-07 2.6E-07 2.9E-07 3.4E-07 4.1E-07 4.9E-07 5.6E-07 6.0E-07   4.5E-06
   3-   5 8.0E-04 8.0E-04 7.9E-04 7.9E-04 7.9E-04 7.9E-04 7.9E-04 7.9E-04 8.1E-04 8.5E-04 9.0E-04 9.6E-04 9.9E-04   1.1E-02
   5-   7 8.6E-03 8.6E-03 8.5E-03 8.3E-03 8.1E-03 7.8E-03 7.6E-03 7.3E-03 6.9E-03 6.7E-03 6.6E-03 6.7E-03 6.7E-03   9.0E-02
